start	end	text
0	11000	Então, estamos aqui todos juntos para construir aí mais um encontro de irmãos nessa travessia.
11000	18000	Que todo mundo se anime para participar, para expor suas dúvidas e vamos lá.
18000	21000	Renato, é a tua vez?
21000	26000	Espera aí, minutinha, só que eu vou colocar que a gente já está gravando.
26000	32000	Exatamente, a gente quer a participação de todo mundo e vamos lá.
32000	40000	Renato vai se apresentar, dispensaria apresentações, mas agora a palavra se apresenta, Renato.
40000	44000	Oi, estimados, amados colegas.
44000	50000	Sou Renato Arnes, meu sobrenome Arnes, ARNS.
50000	55000	Mas eu uso esse codinome no Telegram Fittareno, tá?
55000	60000	Muitos me conhecem pessoalmente já nos encontros presenciais.
60000	64000	Tive o prazer de abraçar muitos de vocês que eu vejo aqui.
64000	68000	E a ideia hoje é trocar ideias.
68000	77000	Trocar ideias não é impor ideias, eu quero escutar vocês porque nós sempre estamos aprendendo.
77000	86000	E a Gregora tem essa capacidade, esse poder de comungar ideias.
86000	90000	E de vez em quando, alguém pode falar alguma coisa que eu acho que é uma bombagem,
90000	96000	mas aí vem aquele tal, poxa, por que que não pensei nisso antes?
96000	100000	A minha formação é basicamente engenheiro.
100000	105000	Eu fiz quatro anos de engenharia eletrônica e eu achei que não era o caminho.
105000	108000	Acabei me formando em civil.
108000	111000	Tenho doutorado na área de hidráulica.
111000	120000	Tenho vários pós-MBA na área de psicologia, filosofia.
120000	128000	Tive a honra de fazer um pós-graduado na Universidade de São Petersburg, na Rússia.
128000	136000	E a única universidade que até hoje formou, por exemplo, oito prêmios nobes.
136000	139000	No Brasil, para vocês terem uma ideia, não tem nenhum prêmio nobe.
139000	143000	Nenhuma universidade da Rússia já tem oito.
143000	146000	Estudei na sala do Pavlov.
146000	152000	Tem outros grandes mestres de lá que não tiveram prêmios nobes, como o Mendelev,
152000	154000	que inventou a tabela periódica.
154000	162000	A Rússia é um país realmente extraordinário, deturpado completamente aqui no Ocidente.
162000	170000	Pessoal, eu vou falar e cada um está bem aberto para me interromper,
170000	173000	para que não fique dúvidas.
173000	180000	E mesmo assim eu faço uma explanação rápida, faço uma pausa e vocês podem fazer colocações.
180000	182000	Não só dúvidas, mas também auxílios.
182000	189000	Ornato, quem sabe, naquele que falou, a gente acrescenta A, B, C.
189000	193000	Estamos nos entendendo?
193000	196000	Maravilhosamente bem, Renan.
196000	198000	Sim.
198000	200000	Ok.
200000	206000	Bem, as medidas prudenciais.
206000	216000	O comandante, vocês todos são colegas nossos, vocês já sabem tudo que ele fala.
216000	224000	E eu vou falar muito do que ele fala e também percepções particulares minhas de outros estudos
224000	229000	e também interpretações do que ele fala.
229000	235000	Isso pode ser coisas pessoais, por isso é interessante também a opinião de vocês.
235000	251000	O ponto focal em tudo isso é a preparação interna sempre, sempre, sempre vai preceder a preparação física e material.
251000	253000	Por quê?
253000	263000	Porque se a gente estiver bem internamente, nós vamos ter calma, nós vamos saber o que fazer,
263000	273000	nós vamos ter discernimento, a gente vai ter capacidade de co-criar situações mais favoráveis.
273000	282000	E se a conexão com o nosso eu estiver realmente afinada, ele vai nos avisar, a nossa família vai nos avisar.
282000	298000	Ou seja, esse é dos pontos fundamentais de ter a preparação interna, de estar conectado com o nosso eu interior, com o nosso eu superior.
298000	304000	Porque todos nós sabemos que a resposta está ali.
304000	319000	E depois, quando eu começar a falar mais do evento, vocês vão entender mais por que essa preparação interna é importante para o que pode estar vindo e o que vai vir.
319000	324000	Só uma pergunta, vocês estão me escutando bem?
324000	325000	Sim.
325000	326000	Muito?
326000	328000	Sim, Renata.
328000	335000	A Dé está com o problema para entrar, mas não tem nada a ver com a gente aqui, está recebendo o resolvido.
335000	340000	Eu devisei quando faço algumas pausas, porque eu não estou acostumado a falar muito.
340000	345000	Então eu tomo água bastante, temos a garrafa de água aqui do meu lado.
345000	348000	Então eu vou lubrificando a garganta, tá pessoal?
348000	352000	Eu ainda falando um pouquinho de mim, que não é o Scope hoje.
352000	358000	Eu vivo na Argentina e eu vivo numa fazenda longe da cidade.
358000	369000	E aqui fora eu tenho os meus preparativos, digamos assim, tá? Que a gente vai conversar hoje.
369000	380000	Então, muitos me perguntam o que está por vir, né?
380000	391000	Então a gente vai começar a falar do que a gente vai chamar aqui de o evento e o comandante fala em checkmate global, tá?
391000	394000	Ou seja, é o fim do jogo local.
394000	397000	Vai ser dar no checkmate.
397000	403000	Esse checkmate ele é composto por uma sequência de eventos.
403000	410000	E não é que amanhã vem um flash solar e vai torna a terra.
410000	415000	Qual é o meu entendimento dessa sequência?
415000	424000	No entendimento que os níveis altos dos DGS, digamos assim, da mão para cima,
424000	433000	sabem desses eventos exógenos que estão por vir, estão se aproximando.
433000	442000	E eles, para aumentar a coleta deles, eles farão o possível para implantar o caos,
442000	446000	para desestabilizar as pessoas, para aumentar a coleta deles, tá?
446000	452000	Então esse é um ponto fundamental, o professor já explicou várias vezes isso, mas nós temos que repetir.
452000	456000	Eles sabem o que está por vir.
456000	463000	Eles vão implantar as variáveis endógenas para baixar a frequência
463000	471000	com o máximo possível do máximo de pessoas para aumentar a coleta deles, tá?
471000	478000	Eu acho que se alguém tiver dúvida o que é uma coleta da OB, agora seria o momento de perguntar.
478000	486000	Alguém tem essa dúvida ou não?
486000	490000	Vou reforçar, né?
490000	499000	Digamos assim, falando em termos, em termos como o comandante coloca,
499000	507000	o jogo, esse jogo para quem vai para a coleta da resistência,
507000	512000	ele vai seguir no jogo no nível mais alto, ok?
512000	519000	Falando em números que não é o ideal, mas nós vamos, o planeta vai para 5D,
